title,area,addr,cat,x,y
국립칠보산자연휴양림캠핑장,35,경상북도 영덕군 병곡면 칠보산길 587,A03,129.3682061041,36.6236934386
국립화천숲속야영장,32,강원특별자치도 화천군 간동면 배후령길 1144,A03,127.7973834577,38.0103870740
국립회문산자연휴양림 캠핑장,37,전북특별자치도 순창군 구림면 안심길 214,A03,127.1216195442,35.4983413746
국민운문산자연휴양림야영장,35,경상북도 청도군 운문면 운문로 763,A03,129.0262365815,35.6483891199
국토정중앙천문대야영장,32,강원특별자치도 양구군 국토정중앙면 국토정중앙로 126,A03,128.0291661314,38.0689818427
군위 솔밭야영장,4,대구광역시 군위군 부계면 원효길 59-1,A03,128.6614352282,36.0472122358
군위전투전승기념공원 캠핑장,4,대구광역시 군위군 삼국유사면 동부로 81,A03,128.7494895538,36.1106566776
굴전여가캠핑장,38,전라남도 여수시 돌산읍 돌산로 3017-15,A03,127.7650168484,34.6924349035
굼벵이캠핑농원,34,충청남도 태안군 이원면 꾸지나무길 103-10,A03,126.2939200483,36.9365597108
굿뜨래웰빙마을,34,충청남도 부여군 부여읍 가탑로 75,A03,126.9305773912,36.2756162041
궁농오토캠핑장,36,경상남도 거제시 장목면 거제북로 2633-16,A03,128.7028381133,35.0007003615
귤빛캠핑장,39,제주특별자치도 제주시 조천읍 함와로 428,A03,126.6738044342,33.5039628424
그날카라반,37,전북특별자치도 무주군 설천면 내배방길 15-31,A03,127.7548747323,35.9115055841
그라티아글램핑,31,경기도 가평군 가평읍 태봉두밀로 421-24,A03,127.4547843444,37.8153284161
그랑블루 글램핑야영장,32,강원특별자치도 양양군 강현면 동해대로 3273-5,A03,128.6205771254,38.1313276111
그레이스글램핑,32,강원특별자치도 춘천시 남산면 북한강변길 888,A03,127.6097531904,37.8280075815
그루터기캠핑장,32,강원특별자치도 양양군 서면 구룡령로 1694,A03,128.5090149157,37.9551625876
그리심 글램핑장,34,충청남도 공주시 정안면 어물길 395,A03,127.1478078106,36.5891979467
그린스톤캠핑장,35,경상북도 문경시 가은읍 완장길 103-63,A03,127.9776391505,36.6830132362
그린애캠핑장,32,강원특별자치도 원주시 칠봉로 604-5,A03,127.8931360731,37.4407716481
그린앤블루,36,경상남도 밀양시 고례로 805-25,A03,128.9231972431,35.4894967648
그린오토캠핑장,35,경상북도 포항시 남구 호미곶면 호미로 1178,A03,129.5739712369,36.0613778846
그린필로우,32,강원특별자치도 홍천군 마리소리길 182,A03,128.2488756918,37.7361024672
그린하우스캠핑장,35,경상북도 경주시 산내면 대현길 91-6,A03,129.0662559560,35.7239007979
그림책동화마을품캠핑장,31,경기도 동두천시 삼육사로 1366 (탑동동),A03,127.0990368783,37.8897521293
그자리야영장,32,강원특별자치도 홍천군 서면 노일로 478,A03,127.7238439558,37.6949501596
글램바오캠핑장,31,경기도 가평군 가평읍 북한강변로 518,A03,127.5361531841,37.7726043296
글램비 글램핑,31,경기도 화성시 서신면 해안길 64,A03,126.6282250513,37.1697662943
글램인스타,32,강원특별자치도 정선군 고한읍 고토일길 210-15,A03,128.8585252972,37.2185933060
글램조이,2,인천광역시 강화군 해안서로 689,A03,126.3898602814,37.6888351221
글램킹 글램핑,38,전라남도 함평군 함평읍 장년길 40,A03,126.4768840574,35.0942317798
글램파크 글램핑,31,경기도 포천시 이동면 화동로 1925-47,A03,127.3645366043,38.0190391289
글램핑로망,4,대구광역시 달성군 옥포읍 옥포로111길 85-6,A03,128.4942168233,35.7411354827
글램핑스토리,36,경상남도 합천군 가야면 구미가천로 345,A03,128.0877330103,35.7486244740
글램핑앤카라반,35,경상북도 포항시 남구 호미곶면 구만길 64,A03,129.5463147992,36.0794891942
글램핑앤카라반,31,경기도 양평군 단월면 단월로 600,A03,127.6777429965,37.5860508287
글램핑클럽레스피아,32,강원특별자치도 홍천군 북방면 구룡밭길 24-30,A03,127.7277133213,37.6856901952
글램핑클럽레스피아 in 포천백운계곡,31,경기도 포천시 이동면 화동로 2440-36,A03,127.3878526982,38.0603541828
글램핑포엠,35,경상북도 청도군 능소화길 6,A03,128.8527159611,35.6380537253
글렌252,31,경기도 양평군 양동면 황거길 135,A03,127.7273200506,37.4566834008
글로리아 야영장,34,충청남도 홍성군 서부면 서부서길554번길 68,A03,126.4684053744,36.5796594350
금강두승산글램핑,37,전북특별자치도 정읍시 고부면 영원로 222-15,A03,126.7957904819,35.5937555334
금강뷰,34,충청남도 금산군 낙안길 107-13,A03,127.5806486078,36.1151209723
금강송 캠핑장,35,경상북도 울진군 금강송면 십이령로 1105,A03,129.2124388795,37.0105240159
금계캠핑장,34,충청남도 공주시 유구읍 문금길 86,A03,126.9836212651,36.6376533756
금관숲야영장,33,충청북도 청주시 상당구 미원면 운암계원로 628,A03,127.7257217763,36.6206102409
금능해수욕장 야영장,39,제주특별자치도 제주시 한림읍 금능길 119-10,A03,126.2360339355,33.3903434702
금다래캠핑장,31,경기도 가평군 북면 화악산로 1087-24,A03,127.5337481810,37.9501225126
금대 에코힐링 캠핑장,32,강원특별자치도 원주시 판부면 영원산성길 372,A03,128.0183263014,37.2933993402
금대자동차야영장,32,강원특별자치도 원주시 판부면 영원산성길 372,A03,128.0182985243,37.2934659986
금동산야,31,경기도 포천시 신북면 상아골길 55,A03,127.1281022206,37.9395746249
금물산하늘소캠프,31,경기도 양평군 청운면 삼백골길 45,A03,127.7908754655,37.5499154461
금방아 민박캠핑장,32,강원특별자치도 영월군 무릉도원면 무릉법흥로 516,A03,128.2603760066,37.3179121542
금산국민여가오토캠핑장,34,충청남도 금산군 제원면 닥실길 16,A03,127.5686971651,36.1051052351
금산만악리수목원 오토캠핑장,34,충청남도 금산군 진산면 초미동길 138-10,A03,127.4372686479,36.1547916808
금산인삼골오토캠핑장,34,충청남도 금산군 제원면 달고개길 124,A03,127.5874542954,36.0878269823
금수강산문화공원 야영장,35,경상북도 성주군 금수강산면 무학3길 64,A03,128.0995603361,35.9308040317
금오도보금자리펜션,38,전라남도 여수시 남면 금오로 1139,A03,127.7815868132,34.5047839401
금오산랜드,36,경상남도 하동군 진교면 구고속도로 374-30,A03,127.8617139609,35.0166363530
금오산야영장,35,경상북도 구미시 금오산상가길 12 (남통동),A03,128.3137086304,36.1108235963
금은모래캠핑장,31,경기도 여주시 강변유원지길 105 (연양동),A03,127.6673579734,37.2933622985
금호강 오토캠핑장,4,대구광역시 북구 검단동 458-4번지,A03,128.6115682298,35.9186842139
기산골캠핑장,31,경기도 양주시 백석읍 기산로 413,A03,126.9359328224,37.7765762612
길안다슬기캠프,35,경상북도 안동시 길안면 웃장터길 80,A03,128.8983970749,36.4549731105
김삿갓삿갓 쉼터,32,강원특별자치도 영월군 강변로 1390,A03,128.5298356163,37.1138907361
김삿갓휴게소 체험 캠핑장,32,강원특별자치도 영월군 김삿갓면 영월동로 2134,A03,128.6089394187,37.1215191374
김제모악산캠핑파크,37,전북특별자치도 김제시 금산면 금산리 79-9,A03,127.0439791521,35.7160569961
김천맑은계곡 오토캠핑장,35,경상북도 김천시 대야길 307,A03,127.9185600671,36.0192823782
김천부항댐 산내들오토캠핑장,35,경상북도 김천시 지례면 부항댐길 50,A03,128.0118862532,35.9780109743
김천실내테니스장&김천오토캠핑장,35,경상북도 김천시 초곡길 287-97,A03,128.1781670249,36.1410260153
김포캠핑파크,31,경기도 김포시 월곶면 용강로 325,A03,126.5585126392,37.7472812758
김포한강오토캠핑장,31,경기도 김포시 하성면 월하로912번길 64,A03,126.6549772606,37.7033936573
김해생림오토캠핑장,36,경상남도 김해시 생림면 금곡로382번길 39,A03,128.8125825367,35.3659836152
김해카라반르몽드,36,경상남도 김해시 가야테마길 161,A03,128.8937757956,35.2516757215
깊은골캠핑장,37,전북특별자치도 무주군 설천면 구천동로 1284-6,A03,127.7606682656,35.9262179048
깊이울관광농원,31,경기도 포천시 신북면 깊이울로 141,A03,127.1753344699,37.9237801057
깊이울달빛캠핑장,31,경기도 포천시 신북면 깊이울로 200,A03,127.1689740009,37.9217024541
꽃길글램핑,36,경상남도 산청군 금서면 왕등재로 160,A03,127.8240573222,35.3973372674
꽃내라팜,32,강원특별자치도 고성군 간성읍 꽃내마루길 75,A03,128.4272240119,38.3493706820
꽃주렁나무주렁캠핑장,31,경기도 용인시 처인구 이동읍 경기동로1024번길 46,A03,127.2091655782,37.1144718760
꿈꾸는 캠핑장,38,전라남도 곡성군 고달면 고산로 325,A03,127.3661448688,35.2927327394
꿈꾸는계곡 펜션,32,강원특별자치도 양양군 현북면 어성전길 389,A03,128.6741228780,37.9329711347
