title,area,contentid,addr,cat,x,y
카페콜라,39,2858680,제주특별자치도 제주시 한림읍 일주서로 5857,A05,126.2919278890,33.4433440378
카페쿠,36,2785273,경상남도 창원시 마산합포구 구산면 해양관광로 1767,A05,128.5655675447,35.0746618150
카페쿠숑,37,2871026,전북특별자치도 부안군 변산로 2104 2층,A05,126.5304369695,35.6785275163
카페크라운,5,3450458,광주광역시 동구 문화전당로 38 (광산동) B2 카페 크라운,A05,126.9192936186,35.1460861028
카페타임슬라이스,31,2873212,경기도 평택시 죽백3로 167-14,A05,127.1345614743,37.0052442640
카페태백산맥,38,2924854,전라남도 여수시 소호1길 64-6,A05,127.6575831967,34.7467686289
카페텐저린,39,2844044,제주특별자치도 서귀포시 이어도로 880,A05,126.5087220331,33.2363120071
카페토닥,33,2864909,충청북도 옥천군 현리3길 10-1,A05,127.6605727892,36.3931712144
카페톤,31,2836615,경기도 용인시 처인구 모현읍 초부로 192,A05,127.2620829409,37.3143413819
카페툇마루,32,3532862,강원특별자치도 강릉시 난설헌로 232 (초당동),A05,128.9145027351,37.7929448142
카페트로이,31,2792716,경기도 여주시 명품로 142 (상거동),A05,127.6324929187,37.2501666502
카페파도,35,2834344,경상북도 포항시 남구 구룡포읍 하정로172번길 2,A05,129.5514895569,35.9768342269
